Name,onine_since,Image,categories,Category,Sub-category,Designer,Condition,Material,Color,Size,Location,Reference,Price,price_with_discount,Link
Leather leggings The Row Red size M International in Leather ,2024-01-25,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/red-leather-the-row-trousers-40737099-1_2.jpg",Women,Clothing,Trousers,The Row,Very good condition,Leather,Red,M International,"United States, from the seller pilar",40737099,$253,$169.40,https://www.vestiairecollective.com/women-clothing/trousers/the-row/red-leather-the-row-trousers-40737099.shtml
Earrings Chanel Gold in Gold plated ,2024-03-26,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/gold-gold-plated-chanel-earrings-42661723-1_3.jpg",Women,Jewellery,Earrings,Chanel,Very good condition,Gold plated,Gold,Vintage,"United States, from the seller wade",42661723,$988.90,,https://www.vestiairecollective.com/women-jewellery/earrings/chanel/gold-gold-plated-chanel-earrings-42661723.shtml
Tote Ganni Black in Synthetic ,2024-01-08,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-synthetic-ganni-handbag-40178269-1_2.jpg",Women,Bags,Handbags,Ganni,"Never worn, with tag",Synthetic,Black,"United States, from the seller Kimberly",40178269,,$106.70,,https://www.vestiairecollective.com/women-bags/handbags/ganni/black-synthetic-ganni-handbag-40178269.shtml
Marco leather small bag Louis Vuitton Brown in Leather ,2024-03-07,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/brown-leather-marco-louis-vuitton-small-bag-42070053-1_2.jpg",Men,Bags,"Small bags, wallets & cases",Louis Vuitton,Marco,Very good condition,Leather,Brown,"United States, from the seller Golden Bear Boutique",42070053,$225,$210,https://www.vestiairecollective.com/men-bags/small-bags-wallets-cases/louis-vuitton/brown-leather-marco-louis-vuitton-small-bag-42070053.shtml
T,2024-03-22,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/green-cotton-play-comme-des-garcons-top-42556694-1_2.jpg",Kids,Boys,Tops,Play Comme des Garçons,Good condition,Cotton,Green,16 years - M UK,"United States, from the seller Eyen",42556694,$55,,https://www.vestiairecollective.com/kids-boys/tops/play-comme-des-garcons/green-cotton-play-comme-des-garcons-top-42556694.shtml
Handbag Louis Vuitton Multicolour in Plastic ,2024-03-28,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/multicolour-plastic-louis-vuitton-handbag-42493897-445358249_6.jpg",Women,Bags,Handbags,Louis Vuitton,Very good condition,Plastic,Multicolour,Vestiaire Collective United States,42493897,,"$1,725",,https://www.vestiairecollective.com/women-bags/handbags/louis-vuitton/multicolour-plastic-louis-vuitton-handbag-42493897.shtml
Pouch leather handbag Bottega Veneta Brown in Leather ,2024-03-31,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/brown-leather-pouch-bottega-veneta-handbag-42813439-1_2.jpg",Women,Bags,Handbags,Bottega Veneta,Pouch,Very good condition,Leather,Brown,"Australia, from the seller Yvette",42813439,"$1,876.60",,https://www.vestiairecollective.com/women-bags/handbags/bottega-veneta/brown-leather-pouch-bottega-veneta-handbag-42813439.shtml
Chypre leather sandal Hermès Green size 38 EU in Leather ,2024-02-02,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/green-leather-chypre-hermes-sandals-40983158-1.jpg",Women,Shoes,Sandals,Hermès,Chypre,"Never worn, with tag",Leather,Green,38 EU,"United States, from the seller brandi","$1,100",$880,https://www.vestiairecollective.com/women-shoes/sandals/hermes/green-leather-chypre-hermes-sandals-40983158.shtml
Pants Burberry Red size 16 years ,2024-03-02,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/red-cotton-burberry-trousers-41904276-1_4.jpg",Kids,Girls,Trousers,Burberry,"Never worn, with tag",Cotton,Red,16 years - M UK,"United States, from the seller Sadie",41904276,$209,$169.40,https://www.vestiairecollective.com/kids-girls/trousers/burberry/red-cotton-burberry-trousers-41904276.shtml
2.55 leather mini bag Chanel Red in Leather ,2024-03-25,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/red-leather-255-chanel-handbag-42573537-1_3.jpg",Women,Bags,Handbags,Chanel,2.55,Very good condition,Leather,Red,"United States, from the seller Jennifer",42573537,$605,,https://www.vestiairecollective.com/women-bags/handbags/chanel/red-leather-255-chanel-handbag-42573537.shtml
